2,z,Washington,9.25,Laminate,1,1.75,2.10,1.75,2.10,0.356125,4.206125,02-24-2020
3,kio,Texas,4.45,Carpet,100,2.25,2.10,225.00,210.00,19.357500,454.357500,02-24-2020
8,kio,Texas,4.45,Carpet,100,2.25,2.10,225.00,210.00,19.357500,454.357500,02-24-2020
1,T,Texas,4.45,Tile,10,3.50,4.15,35.00,41.50,3.404250,79.904250,02-27-2020
2,Kiss,Texas,4.45,Tile,1,3.50,4.15,3.50,4.15,0.340425,7.990425,02-27-2020
3,Jose,Texas,4.45,Tile,300,3.50,4.15,1050.00,1245.00,102.127500,2397.127500,02-27-2020
4,Neil,Washington,9.25,Laminate,10,1.75,2.10,17.50,21.00,3.561250,42.061250,02-27-2020
5,QQQQQ,Texas,4.45,Laminate,100,1.75,2.10,175.00,210.00,17.132500,402.132500,02-27-2020
6,LILIL,Washington,9.25,Wood,333,5.15,4.75,1714.95,1581.75,304.944750,3601.644750,02-27-2020
1,Jose,Texas,4.45,Tile,300,3.50,4.15,1050.00,1245.00,102.127500,2397.127500,02-28-2000
2,Lucy,California,25.00,Tile,300,3.50,4.15,1050.00,1245.00,102.127500,2868.7500,02-28-2000
3,Killa,Texas,4.45,Tile,300,3.50,4.15,1050.00,1245.00,102.127500,2397.127500,02-28-2000
4,QQQ,Washington,9.25,Laminate,10,1.75,2.10,17.50,21.00,3.561250,42.061250,02-28-2000
1,Jose,Texas,4.45,Tile,300,3.50,4.15,1050.00,1245.00,102.127500,2397.127500,02-28-2020
2,Kiss,California,25.00,Tile,300,3.50,4.15,1050.00,1245.00,573.7500,2868.7500,02-28-2020
1,Emma,Washington,9.25,Wood,25,5.15,4.75,128.75,118.75,22.893750,270.393750,02-29-2020
1,Jo,Texas,4.45,Laminate,100,1.75,2.10,175.00,210.00,17.132500,402.132500,03-01-2020
1,Jose, inc.,Texas,4.45,Tile,100,3.50,4.15,350.00,415.00,34.042500,799.042500,03-02-2020
3,Leroy,Washington,9.25,Tile,100,3.50,4.15,350.00,415.00,70.762500,835.762500,03-02-2020
4,JEEEEEEE,Texas,4.45,Wood,100,5.15,4.75,515.00,475.00,44.055000,1034.055000,03-02-2020
5,AAAAAAA,Washington,9.25,Carpet,100,2.25,2.10,225.00,210.00,40.237500,475.237500,03-02-2020
